"Set"	"N"	"Sim"	"HR"	"MAP"	"SV"	"CVP"	"SAP"	"DAP"	"Grav"	"CO"	"PP"
"2"	1	75	66.111794	99.990259	85.108236	7.117256	123.115284	75.053317	"1"	5.62665816613538	48.061967
"2"	1	76	64.249767	100.374198	87.029953	7.198942	124.116422	74.911925	"1"	5.59165420227095	49.204497
"2"	1	77	67.511833	99.578264	84.445003	7.148373	122.486758	74.824837	"1"	5.7010369402205	47.661921
"2"	1	78	65.56636	100.073345	86.16085	7.198617	123.531862	74.848994	"1"	5.649253309006	48.682868
"2"	1	79	65.849973	99.662437	86.304749	7.218333	123.120216	74.410617	"1"	5.68316539142178	48.709599
"2"	1	80	65.194633	100.155731	85.92171	7.158342	123.545207	74.98648	"1"	5.60163435018243	48.558727
"2"	1	81	65.017259	100.174287	85.941247	7.152463	123.600902	74.994021	"1"	5.58766431498197	48.606881
"2"	1	82	64.79598	99.867238	85.834456	7.116814	123.262417	74.71727	"1"	5.56172769428688	48.545147
"2"	1	83	65.646704	100.135306	85.793531	7.169198	123.486911	74.995865	"1"	5.63206253467182	48.491046
"2"	1	84	66.728134	100.068506	85.489376	7.193826	123.287161	75.026491	"1"	5.70454653730438	48.26067
"2"	1	85	63.99383	100.247154	88.301603	7.29337	124.359037	74.440109	"1"	5.65075777110949	49.918928
"2"	1	86	65.979996	99.591414	85.248063	7.145343	122.784811	74.606992	"1"	5.62466685574775	48.177819
"2"	1	87	65.985206	99.76762	86.204903	7.224892	123.199686	74.538017	"1"	5.68824828266502	48.661669
"2"	1	88	64.641781	100.081328	86.846458	7.185734	123.729512	74.670503	"1"	5.6139097186617	49.059009
"2"	1	89	64.85456	100.71229	85.228901	7.087779	123.964862	75.713569	"1"	5.52748287363856	48.251293
"2"	1	90	65.103234	100.047306	86.707556	7.233122	123.679276	74.67777	"1"	5.6449423078361	49.001506
"2"	1	91	66.470108	100.847642	82.837037	7.007894	123.411779	76.486107	"1"	5.50618679579	46.925672
"2"	1	92	64.447292	100.286365	87.304907	7.21532	124.066029	74.752493	"1"	5.62656483446184	49.313536
"2"	1	93	64.442309	100.513234	86.134187	7.135501	123.995573	75.282833	"1"	5.55068589411778	48.71274
"2"	1	94	66.293043	99.782823	84.719041	7.113405	122.811519	74.942785	"1"	5.61628302793176	47.868734
"2"	1	95	66.102764	100.371083	85.272171	7.1443	123.56866	75.383786	"1"	5.63672619538064	48.184874
"2"	1	96	65.633188	100.496516	84.794231	7.085147	123.579814	75.625085	"1"	5.56531570453843	47.954729
"2"	1	97	66.474328	99.743083	86.594871	7.247485	123.254385	74.416873	"1"	5.75633585797169	48.837512
"2"	1	98	66.553015	99.833989	84.179208	7.079388	122.702628	75.131739	"1"	5.60238009271212	47.570889
"2"	1	99	65.947611	99.638457	85.424045	7.157077	122.861527	74.610949	"1"	5.6335116897065	48.250578
"2"	1	100	65.137553	99.762121	86.723904	7.210782	123.363652	74.380939	"1"	5.64898289316691	48.982713
"2"	2	1	66.094364	99.540822	85.65528	7.15511	122.817226	74.456278	"1"	5.66133125484192	48.360948
"2"	2	2	65.543317	99.917273	86.43977	7.210006	123.431793	74.620364	"1"	5.66554924651709	48.811429
"2"	2	3	64.742795	99.889201	85.744527	7.106236	123.242079	74.755063	"1"	5.55134033393297	48.487016
